date,symbol,volume,volume_ma_30,close
2023-06-18,BNB-USD,372246652.0,517387214.23333335,244.08726501464844
2023-06-19,BNB-USD,359118142.0,520111380.3,242.9033660888672
2023-06-20,BNB-USD,477391843.0,525930990.73333335,247.6744384765625
2023-06-21,BNB-USD,717670519.0,538014789.3333334,249.28634643554688
2023-06-22,BNB-USD,709030407.0,549596850.2666667,240.7924346923828
2023-06-23,BNB-USD,493157882.0,552074253.3,244.56494140625
2023-06-24,BNB-USD,558809140.0,557330628.1333333,236.6596527099609
2023-06-25,BNB-USD,414941211.0,555306708.8,238.8929901123047
2023-06-26,BNB-USD,427457532.0,558502639.8666667,236.1342620849609
2023-06-27,BNB-USD,348181738.0,556587919.9,237.49267578125
2023-06-28,BNB-USD,480872336.0,554507502.1666666,230.65036010742188
2023-06-29,BNB-USD,332343168.0,552517645.1666666,233.23245239257807
2023-06-30,BNB-USD,626872820.0,557599731.0,240.36978149414065
2023-07-01,BNB-USD,603755323.0,565894979.9333333,247.75942993164065
2023-07-02,BNB-USD,519491311.0,570469482.9666667,246.25791931152344
2023-07-03,BNB-USD,669962148.0,584101692.2,246.38221740722656
2023-07-04,BNB-USD,439591635.0,589639769.2333333,242.492919921875
2023-07-05,BNB-USD,455501209.0,573872619.9333333,239.08108520507807
2023-07-06,BNB-USD,536134671.0,568684291.3333334,232.3194274902344
2023-07-07,BNB-USD,418416864.0,550673546.9666667,235.62115478515625
2023-07-08,BNB-USD,319300746.0,542554776.7666667,236.28738403320312
2023-07-09,BNB-USD,289327973.0,535818042.6,234.22836303710932
2023-07-10,BNB-USD,834091613.0,528006931.6333333,245.874267578125
2023-07-11,BNB-USD,536228377.0,533340750.6,248.538330078125
2023-07-12,BNB-USD,505389150.0,516372611.1333333,244.01988220214844
2023-07-13,BNB-USD,761150982.0,512930741.6,256.4896850585937
2023-07-14,BNB-USD,799468588.0,514958554.1333333,248.19161987304688
2023-07-15,BNB-USD,422767368.0,512303440.6666667,251.0997009277344
2023-07-16,BNB-USD,441487283.0,510733594.3666667,242.6568298339844
2023-07-17,BNB-USD,671028354.0,518039566.1666667,244.35299682617188
2023-07-18,BNB-USD,751858394.0,530693290.9,240.2649383544922
2023-07-19,BNB-USD,499664149.0,535378157.8,241.1608123779297
2023-07-20,BNB-USD,485038743.0,535633054.46666664,242.733139038086
2023-07-21,BNB-USD,413015398.0,525477883.76666665,243.7889862060547
2023-07-22,BNB-USD,310128851.0,512181165.23333335,241.0307464599609
2023-07-23,BNB-USD,279600847.0,505062597.4,242.4559631347656
2023-07-24,BNB-USD,451906472.0,501499175.1333333,238.9462127685547
2023-07-25,BNB-USD,366519529.0,499885119.06666666,237.80856323242188
2023-07-26,BNB-USD,417581395.0,499555914.5,238.9623565673828
