date,symbol,close,lag_1,lag_7,lag_30
2023-08-13,BTC-USD,29282.9140625,29415.96484375,29041.85546875,30334.068359375
2023-08-14,BTC-USD,29408.443359375,29282.9140625,29180.578125,30295.806640625
2023-08-15,BTC-USD,29170.34765625,29408.443359375,29765.4921875,30249.1328125
2023-08-16,BTC-USD,28701.779296875,29170.34765625,29561.494140625,30145.888671875
2023-08-17,BTC-USD,26664.55078125,28701.779296875,29429.591796875,29856.5625
2023-08-18,BTC-USD,26049.556640625,26664.55078125,29397.71484375,29913.923828125
2023-08-19,BTC-USD,26096.205078125,26049.556640625,29415.96484375,29792.015625
2023-08-20,BTC-USD,26189.583984375,26096.205078125,29282.9140625,29908.744140625
2023-08-21,BTC-USD,26124.140625,26189.583984375,29408.443359375,29771.802734375
2023-08-22,BTC-USD,26031.65625,26124.140625,29170.34765625,30084.5390625
2023-08-23,BTC-USD,26431.640625,26031.65625,28701.779296875,29176.916015625
2023-08-24,BTC-USD,26162.373046875,26431.640625,26664.55078125,29227.390625
2023-08-25,BTC-USD,26047.66796875,26162.373046875,26049.556640625,29354.97265625
2023-08-26,BTC-USD,26008.462890625,26047.66796875,26096.205078125,29210.689453125
2023-08-27,BTC-USD,26089.693359375,26008.462890625,26189.583984375,29319.24609375
2023-08-28,BTC-USD,26106.150390625,26089.693359375,26124.140625,29356.91796875
2023-08-29,BTC-USD,27727.392578125,26106.150390625,26031.65625,29275.30859375
2023-08-30,BTC-USD,27297.265625,27727.392578125,26431.640625,29230.111328125
2023-08-31,BTC-USD,25931.47265625,27297.265625,26162.373046875,29675.732421875
2023-09-01,BTC-USD,25800.724609375,25931.47265625,26047.66796875,29151.958984375
2023-09-02,BTC-USD,25868.798828125,25800.724609375,26008.462890625,29178.6796875
2023-09-03,BTC-USD,25969.56640625,25868.798828125,26089.693359375,29074.091796875
2023-09-04,BTC-USD,25812.416015625,25969.56640625,26106.150390625,29042.126953125
2023-09-05,BTC-USD,25779.982421875,25812.416015625,27727.392578125,29041.85546875
2023-09-06,BTC-USD,25753.236328125,25779.982421875,27297.265625,29180.578125
2023-09-07,BTC-USD,26240.1953125,25753.236328125,25931.47265625,29765.4921875
2023-09-08,BTC-USD,25905.654296875,26240.1953125,25800.724609375,29561.494140625
2023-09-09,BTC-USD,25895.677734375,25905.654296875,25868.798828125,29429.591796875
2023-09-10,BTC-USD,25832.2265625,25895.677734375,25969.56640625,29397.71484375
2023-09-11,BTC-USD,25162.654296875,25832.2265625,25812.416015625,29415.96484375
2023-09-12,BTC-USD,25833.34375,25162.654296875,25779.982421875,29282.9140625
2023-09-13,BTC-USD,26228.32421875,25833.34375,25753.236328125,29408.443359375
2023-09-14,BTC-USD,26539.673828125,26228.32421875,26240.1953125,29170.34765625
2023-09-15,BTC-USD,26608.693359375,26539.673828125,25905.654296875,28701.779296875
2023-09-16,BTC-USD,26568.28125,26608.693359375,25895.677734375,26664.55078125
2023-09-17,BTC-USD,26534.1875,26568.28125,25832.2265625,26049.556640625
2023-09-18,BTC-USD,26754.28125,26534.1875,25162.654296875,26096.205078125
2023-09-19,BTC-USD,27211.1171875,26754.28125,25833.34375,26189.583984375
2023-09-20,BTC-USD,27132.0078125,27211.1171875,26228.32421875,26124.140625
2023-09-21,BTC-USD,26567.6328125,27132.0078125,26539.673828125,26031.65625
2023-09-22,BTC-USD,26579.568359375,26567.6328125,26608.693359375,26431.640625
2023-09-23,BTC-USD,26579.390625,26579.568359375,26568.28125,26162.373046875
2023-09-24,BTC-USD,26256.826171875,26579.390625,26534.1875,26047.66796875
2023-09-25,BTC-USD,26298.48046875,26256.826171875,26754.28125,26008.462890625
2023-09-26,BTC-USD,26217.25,26298.48046875,27211.1171875,26089.693359375
2023-09-27,BTC-USD,26352.716796875,26217.25,27132.0078125,26106.150390625
2023-09-28,BTC-USD,27021.546875,26352.716796875,26567.6328125,27727.392578125
2023-09-29,BTC-USD,26911.720703125,27021.546875,26579.568359375,27297.265625
2023-09-30,BTC-USD,26967.916015625,26911.720703125,26579.390625,25931.47265625
2023-10-01,BTC-USD,27983.75,26967.916015625,26256.826171875,25800.724609375
2023-10-02,BTC-USD,27530.78515625,27983.75,26298.48046875,25868.798828125
2023-10-03,BTC-USD,27429.978515625,27530.78515625,26217.25,25969.56640625
2023-10-04,BTC-USD,27799.39453125,27429.978515625,26352.716796875,25812.416015625
2023-10-05,BTC-USD,27415.912109375,27799.39453125,27021.546875,25779.982421875
2023-10-06,BTC-USD,27946.59765625,27415.912109375,26911.720703125,25753.236328125
2023-10-07,BTC-USD,27968.83984375,27946.59765625,26967.916015625,26240.1953125
2023-10-08,BTC-USD,27935.08984375,27968.83984375,27983.75,25905.654296875
2023-10-09,BTC-USD,27583.677734375,27935.08984375,27530.78515625,25895.677734375
2023-10-10,BTC-USD,27391.01953125,27583.677734375,27429.978515625,25832.2265625
2023-10-11,BTC-USD,26873.3203125,27391.01953125,27799.39453125,25162.654296875
2023-10-12,BTC-USD,26756.798828125,26873.3203125,27415.912109375,25833.34375
