date,symbol,close
2023-12-29,BTC-USD,42099.40234375
2023-12-30,BTC-USD,42156.90234375
2023-12-31,BTC-USD,42265.1875
2024-01-01,BTC-USD,44167.33203125
2024-01-02,BTC-USD,44957.96875
2024-01-03,BTC-USD,42848.17578125
2024-01-04,BTC-USD,44179.921875
2024-01-05,BTC-USD,44162.69140625
2024-01-06,BTC-USD,43989.1953125
2024-01-07,BTC-USD,43943.09765625
2024-01-08,BTC-USD,46970.50390625
2024-01-09,BTC-USD,46139.73046875
2024-01-10,BTC-USD,46627.77734375
2024-01-11,BTC-USD,46368.5859375
2024-01-12,BTC-USD,42853.16796875
2024-01-13,BTC-USD,42842.3828125
2024-01-14,BTC-USD,41796.26953125
2024-01-15,BTC-USD,42511.96875
2024-01-16,BTC-USD,43154.9453125
2024-01-17,BTC-USD,42742.65234375
2024-01-18,BTC-USD,41262.05859375
2024-01-19,BTC-USD,41618.40625
2024-01-20,BTC-USD,41665.5859375
2024-01-21,BTC-USD,41545.78515625
2024-01-22,BTC-USD,39507.3671875
2024-01-23,BTC-USD,39845.55078125
2024-01-24,BTC-USD,40077.07421875
2024-01-25,BTC-USD,39933.80859375
2024-01-26,BTC-USD,41816.87109375
2024-01-27,BTC-USD,42120.0546875
2024-01-28,BTC-USD,42035.59375
2024-01-29,BTC-USD,43288.24609375
2024-01-30,BTC-USD,42952.609375
2024-01-31,BTC-USD,42582.60546875
2024-02-01,BTC-USD,43075.7734375
2024-02-02,BTC-USD,43185.859375
2024-02-03,BTC-USD,42992.25
2024-02-04,BTC-USD,42583.58203125
2024-02-05,BTC-USD,42658.66796875
2024-02-06,BTC-USD,43084.671875
2024-02-07,BTC-USD,44318.22265625
2024-02-08,BTC-USD,45301.56640625
2024-02-09,BTC-USD,47147.19921875
2024-02-10,BTC-USD,47771.27734375
2024-02-11,BTC-USD,48293.91796875
2024-02-12,BTC-USD,49958.22265625
2024-02-13,BTC-USD,49742.44140625
2024-02-14,BTC-USD,51826.6953125
2024-02-15,BTC-USD,51938.5546875
2024-02-16,BTC-USD,52160.203125
2024-02-17,BTC-USD,51662.99609375
2024-02-18,BTC-USD,52122.546875
2024-02-19,BTC-USD,51779.14453125
2024-02-20,BTC-USD,52284.875
2024-02-21,BTC-USD,51839.1796875
2024-02-22,BTC-USD,51304.97265625
2024-02-23,BTC-USD,50731.94921875
2024-02-24,BTC-USD,51571.1015625
2024-02-25,BTC-USD,51733.23828125
2024-02-26,BTC-USD,54522.40234375
2024-02-27,BTC-USD,57085.37109375
2024-02-28,BTC-USD,62504.7890625
2024-02-29,BTC-USD,61198.3828125
2024-03-01,BTC-USD,62440.6328125
2024-03-02,BTC-USD,62029.84765625
2024-03-03,BTC-USD,63167.37109375
2024-03-04,BTC-USD,68330.4140625
2024-03-05,BTC-USD,63801.19921875
2024-03-06,BTC-USD,66106.8046875
2024-03-07,BTC-USD,66925.484375
2024-03-08,BTC-USD,68300.09375
2024-03-09,BTC-USD,68498.8828125
2024-03-10,BTC-USD,69019.7890625
2024-03-11,BTC-USD,72123.90625
2024-03-12,BTC-USD,71481.2890625
2024-03-13,BTC-USD,73083.5
2024-03-14,BTC-USD,71396.59375
2024-03-15,BTC-USD,69403.7734375
2024-03-16,BTC-USD,65315.1171875
2024-03-17,BTC-USD,68390.625
2024-03-18,BTC-USD,67548.59375
